['0.0 s', 0.44884764322696147]
['11.0 s', 0.4622008798984658]
['21.0 s', 0.47307415730166397]
['31.0 s', 0.48727926471628974]
['41.0 s', 0.503372629895566]
['51.0 s', 0.5234293183938034]
['60.0 s', 0.5364208856255362]
['62.0 s', 0.5423430812497627]
['71.0 s', 0.5556024839497646]
['80.0 s', 0.56677260149735]
['91.0 s', 0.5791376595708502]
['101.0 s', 0.5899967905578282]
['111.0 s', 0.6003683106919991]
['120.0 s', 0.6124769502391323]
['131.0 s', 0.6212302507976633]
['141.0 s', 0.6312944796668284]
['151.0 s', 0.6369790484508773]
['161.0 s', 0.6400484228834279]
['171.0 s', 0.6511683469458204]
['181.0 s', 0.6614037249961335]
['190.0 s', 0.668883621642809]
['201.0 s', 0.6789009561210304]
['211.0 s', 0.6851434218468359]
['221.0 s', 0.6980084399576816]
['230.0 s', 0.7081615681615939]
['241.0 s', 0.7179878497246933]
['251.0 s', 0.7163382781477676]
['261.0 s', 0.7239045037749015]
['271.0 s', 0.7286995362875783]
['281.0 s', 0.728040284600787]
['291.0 s', 0.7435516905306919]
['301.0 s', 0.741241653796255]
['321.0 s', 0.7500380742388408]
['341.0 s', 0.7643618841719715]
['361.0 s', 0.7765278054294812]
['381.0 s', 0.7916067701221711]
['401.0 s', 0.7990826131952259]
['420.0 s', 0.8035166258282618]
['441.0 s', 0.8101646875540752]
['461.0 s', 0.817649868009146]
['481.0 s', 0.8257721934730964]
['501.0 s', 0.8383979200782402]
['520.0 s', 0.844249151911242]
['541.0 s', 0.8513941009933658]
['561.0 s', 0.8590973496891336]
['581.0 s', 0.8633568213525855]
['601.0 s', 0.8690812238416853]
['631.0 s', 0.8784183116425234]
['661.0 s', 0.8960112409738886]
['691.0 s', 0.8999566623635548]
['721.0 s', 0.9080166104851501]
['751.0 s', 0.9151851237588721]
['781.0 s', 0.9183866455345642]
['810.0 s', 0.9264746967262094]
['840.0 s', 0.9293520108065221]
['871.0 s', 0.9414916296947305]
['900.0 s', 0.9412226094838358]
['931.0 s', 0.9530611748248589]
['961.0 s', 0.9534196535510597]
['991.0 s', 0.9645154335459657]
['1021.0 s', 0.9595577076677861]
['1051.0 s', 0.9722669012203886]
['1081.0 s', 0.9766384507353865]
['1111.0 s', 0.9943234587250755]
['1140.0 s', 0.9906077753225868]
['1170.0 s', 1.0008696056127178]
['1201.0 s', 0.9984129328427064]
['1260.0 s', 1.0187535792640532]
['1321.0 s', 1.0315783795739513]
['1381.0 s', 1.0376527609487762]
['1441.0 s', 1.041908379879476]
['1501.0 s', 1.0426431832466803]
['1561.0 s', 1.04746503909216]
['1621.0 s', 1.0620294649386326]
['1680.0 s', 1.0672389663578412]
['1741.0 s', 1.0823665682711818]
['1801.0 s', 1.0864311246794927]
['1861.0 s', 1.0933258792306906]
['1921.0 s', 1.1075692074328192]
['1981.0 s', 1.1086285146687904]
['2041.0 s', 1.1317036494566801]
['2101.0 s', 1.109394914964424]
['2161.0 s', 1.1276651175416632]
['2221.0 s', 1.123863668847061]
['2281.0 s', 1.134114553247224]
['2341.0 s', 1.1304473626883162]
['2401.0 s', 1.139670858966429]
['2461.0 s', 1.143732795076394]
['2521.0 s', 1.146808108544054]
['2580.0 s', 1.1719383523624394]
['2641.0 s', 1.1706870064361652]
['2701.0 s', 1.1644898464333062]
