['0.0 s', 128]
['11.0 s', 137]
['21.0 s', 143]
['31.0 s', 147]
['41.0 s', 148]
['51.0 s', 146]
['60.0 s', 146]
['62.0 s', 146]
['71.0 s', 146]
['80.0 s', 145]
['91.0 s', 144]
['101.0 s', 145]
['111.0 s', 145]
['120.0 s', 144]
['131.0 s', 144]
['141.0 s', 143]
['151.0 s', 143]
['161.0 s', 145]
['171.0 s', 143]
['181.0 s', 142]
['190.0 s', 141]
['201.0 s', 140]
['211.0 s', 140]
['221.0 s', 137]
['230.0 s', 135]
['241.0 s', 134]
['251.0 s', 136]
['261.0 s', 136]
['271.0 s', 134]
['281.0 s', 136]
['291.0 s', 134]
['301.0 s', 135]
['321.0 s', 135]
['341.0 s', 133]
['361.0 s', 132]
['381.0 s', 130]
['401.0 s', 130]
['420.0 s', 131]
['441.0 s', 131]
['461.0 s', 132]
['481.0 s', 131]
['501.0 s', 129]
['520.0 s', 129]
['541.0 s', 128]
['561.0 s', 127]
['581.0 s', 128]
['601.0 s', 127]
['631.0 s', 126]
['661.0 s', 122]
['691.0 s', 125]
['721.0 s', 125]
['751.0 s', 124]
['781.0 s', 124]
['810.0 s', 124]
['840.0 s', 122]
['871.0 s', 121]
['900.0 s', 122]
['931.0 s', 121]
['961.0 s', 121]
['991.0 s', 120]
['1021.0 s', 122]
['1051.0 s', 119]
['1081.0 s', 119]
['1111.0 s', 118]
['1140.0 s', 120]
['1170.0 s', 115]
['1201.0 s', 118]
['1260.0 s', 115]
['1321.0 s', 112]
['1381.0 s', 115]
['1441.0 s', 114]
['1501.0 s', 114]
['1561.0 s', 114]
['1621.0 s', 112]
['1680.0 s', 111]
['1741.0 s', 108]
['1801.0 s', 107]
['1861.0 s', 109]
['1921.0 s', 108]
['1981.0 s', 108]
['2041.0 s', 104]
['2101.0 s', 107]
['2161.0 s', 106]
['2221.0 s', 102]
['2281.0 s', 102]
['2341.0 s', 103]
['2401.0 s', 98]
['2461.0 s', 97]
['2521.0 s', 97]
['2580.0 s', 92]
['2641.0 s', 96]
['2701.0 s', 97]
